Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Oil,Gas,Coal
World,OWID_WRL,1985,0,0,0.011747475,0.064220205,1979.2437,1488.9216,1110.7574,1426.3318,3748.3848
World,OWID_WRL,1986,0,0,0.015183838,0.13883132,2006.073,1594.7357,1168.2734,1432.6915,3839.0095
World,OWID_WRL,1987,0,0,0.01060303,0.19537677,2033.1924,1734.7332,1183.1753,1516.5096,4058.0767
World,OWID_WRL,1988,0,0,0.010195959,0.3315798,2098.3489,1891.2493,1256.5248,1540.98,4200.6743
World,OWID_WRL,1989,0,0,0.26222324,2.6497767,2087.587,1945.0106,1350.2001,1728.5537,4376.982
World,OWID_WRL,1990,0,0,0.38824996,3.6324706,2158.622,2000.596,1366.0936,1788.726,4460.2417
World,OWID_WRL,1991,0,0,0.50522286,4.086107,2208.5442,2096.3098,1351.4529,1814.145,4557.0664
World,OWID_WRL,1992,0,0,0.4665791,4.732812,2208.3147,2112.223,1329.7122,1828.4281,4649.81
World,OWID_WRL,1993,0,0,0.5566775,5.704169,2341.3206,2184.9646,1268.5487,1862.4302,4727.7744
World,OWID_WRL,1994,0,0,0.5969829,7.13173,2355.9055,2225.9788,1303.7859,1923.7316,4891.716
World,OWID_WRL,1995,0,0,0.63888276,8.272123,2483.389,2322.5298,1261.7968,2034.872,5038.7197
World,OWID_WRL,1996,0,0,0.69922996,9.215601,2516.815,2406.615,1247.4473,2100.1453,5279.495
World,OWID_WRL,1997,0,0,0.7496558,12.028216,2561.3557,2390.0642,1245.286,2270.331,5395.6333
World,OWID_WRL,1998,0,0,0.811852,15.92926,2580.9333,2431.1948,1295.5375,2407.8464,5511.2114
World,OWID_WRL,1999,0,0,0.9052879,21.226898,2600.4688,2523.7056,1267.9274,2600.2073,5630.671
World,OWID_WRL,2000,43.65,154.44,1.03,31.14,2629.63,2540.46,1323.96,2745.57,5808.81
World,OWID_WRL,2001,44.15,149.72,1.37,38.18,2563.66,2613.17,1284.72,2914.78,5890.67
World,OWID_WRL,2002,45.83,162.96,1.71,52.22,2611.51,2654.78,1271.49,3104.81,6144.3
World,OWID_WRL,2003,46.61,176.51,2.1,63.19,2611.9,2601.05,1295.92,3255.5,6574.95
World,OWID_WRL,2004,48.26,192.54,2.78,85.46,2802.55,2719.41,1263.28,3503.08,6797.3
World,OWID_WRL,2005,48.59,212.86,3.94,104.38,2911.71,2726.97,1277.64,3680.54,7167.21
World,OWID_WRL,2006,50.76,226.7,5.41,133.17,3018.02,2761.59,1175.8,3900.59,7566.97
World,OWID_WRL,2007,52.81,249.26,7.28,171.12,3062.72,2703.49,1196.17,4219.27,8051.83
World,OWID_WRL,2008,56.59,266.33,11.84,220.81,3245.28,2694.72,1171.74,4360.99,8074.17
World,OWID_WRL,2009,58.66,286.47,19.81,276.22,3241.2,2656.76,1071.2,4382.35,7950.77
World,OWID_WRL,2010,59.71,327.14,32.21,345.93,3428.15,2725.91,1078.7,4807.86,8458
World,OWID_WRL,2011,61.08,345.19,63.61,439.9,3488,2610.34,1186.82,4865.93,8911.04
World,OWID_WRL,2012,62.83,374.14,96.98,529.19,3660.09,2432.22,1238.63,5161.35,8960.28
World,OWID_WRL,2013,64.32,406.59,131.95,634.06,3790.72,2448.52,1196.86,5058.36,9423.86
World,OWID_WRL,2014,69.53,442.78,197.75,706.02,3870.65,2498.73,1143.65,5214.12,9603.89
World,OWID_WRL,2015,73.08,472.27,256.39,829.52,3881.96,2532.93,1133.36,5539.88,9283.8
World,OWID_WRL,2016,75.87,482.45,327.76,960.2,4014.77,2571.05,1085.05,5849.92,9328.25
World,OWID_WRL,2017,78.82,507.88,445,1139.31,4054.04,2594.23,993.86,5973.6,9655.23
World,OWID_WRL,2018,81.71,538.3,575.18,1268,4177.08,2658.7,908.58,6224.56,10033.18
World,OWID_WRL,2019,82.95,566.7,705.3,1420.8,4227.97,2754.08,854.85,6401.28,9826.58
World,OWID_WRL,2020,86.12,601.76,857.41,1591.37,4347.22,2648.33,776.29,6382.39,9438.22
World,OWID_WRL,2021,86.33,655.68,1054.39,1856.7,4288.92,2762.44,842.16,6557.35,10155.76
World,OWID_WRL,2022,87.91,669.79,1330.01,2107.18,4322.7,2639.64,888.28,6629.74,10242.99
World,OWID_WRL,2023,87.83,682.62,1661.36,2313.01,4232.49,2699.34,872.08,6715.88,10400.65
World,OWID_WRL,2024,86.98,704.81,2128.37,2505.35,4419.95,2778.76,869.76,6900.36,10543.84